iter	Passed	Remaining
708	3748	1538
709	3752	1532
710	3756	1526
711	3760	1520
712	37715	3795713	37716	3800	1500
717	3806	1495
718	3809	1488
719	3812	1482
720	3816	1476
721	3819	1470
722	3825	1465
723	3828	1459
724	3832	1453
725	3835	1447
726	3837	1441
727	3841	1435
728	3845	1429
729	3847	1423
730	3851	1417
731	3855	1411
732	3860	1406
733	3865	1400
734	3869	1395
735	3873	1389
736	3878	1384
737	3882	1378
738	3887	1372
739	3892	1367
740	3897	1362
741	3902	1357
742	3906740	38743	3913	1346
744	3918	1341
745	3921	1335
746	3927744	38747	3931745	39748	3935	1318
749	3938	1312
750	3940748	39751	3943749	39752	3945750	39753	3949751	39754	3953752	39755	3956753	39756	3961754	39757	3965755	39758	3967756	39759	3971757	39760	3973758	39761	3978	1242
762	3981	1236
763	3985	1231
764	3989	1225
765	3993	1219
766	3995	1213
767	4000	1208
768	4002	1202
769	4006	1196
770	4009	1190
771	4012	1184
772	4015	1179
773	4018	1173
774	4021	1167
775	4023	1161
776	4026	1155
777	4028	1149
778	4030776	39779	4033	1137
780	4036	1131
781	4039	1126
782	4043	1120
783	4047	1115
784	4050	1109
785	4053	1103
786	4056	1097
787	4059	1092
788	4063	1086
789	4065	1080
790	4068	1074
791	4070	1069
792	4074	1063
793	4077	1057
794	4079	1052
795	4083	1046
796	4086	1040
797	4090	1035
798	4093	1029
799	4095	1023
800	4099	1018
801	4102	1012
802	4105	1007
803	4108	1001
804	4112	996
805	4116	990
806	4120	985
807	4123	979
808	4125	974
809	4128	968
810	4130	962
811	4134	957
812	4137	951
813	4141	946
814	4146	941
815	4149	935
816	4151	929
817	4154	924
818	4157	918
819	4161	913
820	4165	908
821	4168	902
822	4170	897
823	4173	891
824	4176	885
825	4180	880
826	4182	874
827	4186	869
828	4189	864
829	4191	858
830	4194	853
831	4198	847
832	4201	842
833	4206	837
834	4210	831
835	4212	826
836	4214	820
837	4217	815
838	4219	809
839	4224	804
840	4227	799
841	4232	794
842	4234	788
843	4239	783
844	4243	778
845	4249	773
846	4251	768
847	4256	762
848	4260	757
849	4264	752
850	4266	747
851	4271	741
852	4275	736
853	4279	731
854	4282	726
855	4286	721
856	4292	716
857	4297	711
858	4300	705
859	4302	700
860	4304	858	861	4307	859	862	4310	860	863	4313	861	4283	685
862	4286	680
863	866	4322	864	867	4324	865	868	4328	866	869	4333	867	870	4337	868	871	4340	869	872	4342	870	4312	638
871	874	4348	872	875	4350	873	876	4353	874	877	4356	875	878	4361	600
879	4364	595
880	4367	590
881	4369	584
882	4373	579
883	4376	574
884	4379	569
885	4383	563
886	4386	558
887	4388	553
888	4390	548
889	4393	543
890	4395	537
891	4398	532
892	4402	527
893	4408	522
894	4412	517
895	4415	512
896	4419	507
897	4421	502
898	4425	497
899	4427	491
900	4431	486
901	4434	481
902	4437	900	903	4440	471
904	4444	466
905	4448	461
906	4451	904	907	4455	905	4427	459
906	4431	454
907	4434	449
908	911	4467	909	4438	438
910	913	4473	911	914	4476	912	915	4479	913	916	4482	405
917	4485	400
918	4488	395
919	4491	390
920	4493	385
